
				Subject,Start Date,Start Time,End Date,End Time,All day event,Reminder on/off,Reminder Date,Reminder Time,Meeting Organizer,Required Attendees,Optional Attendees,Meeting Resources,Billing Information,Categories,Description,Location,Mileage,Priority,Private,Sensitivity,Show time as
				Day 2,14/06/2022,,14/06/2022,,TRUE,FALSE,,,,,,,,,,,,,,,FREE
					Coding & Algorithms  Mr D J Brosche  16,14/06/2022,8:35:00 AM  ,14/06/2022,9:20:00 AM  ,FALSE,FALSE,,,,,,,,,,,,,,,
				Mathematics  Mr A Patel  43,14/06/2022,9:25:00 AM  ,14/06/2022,10:10:00 AM ,FALSE,FALSE,,,,,,,,,,,,,,,
				Chemistry  Ms J A Scarff  S2.03,14/06/2022,11:10:00 AM ,14/06/2022,11:55:00 AM ,FALSE,FALSE,,,,,,,,,,,,,,,
				Public Speaking and Sound Design  Ms O C Hopkins  D1,14/06/2022,12:00:00 PM ,14/06/2022,12:45:00 PM ,FALSE,FALSE,,,,,,,,,,,,,,,
				Italian  Mrs K L Irwin  L3.03,14/06/2022,1:40:00 PM  ,14/06/2022,2:25:00 PM  ,FALSE,FALSE,,,,,,,,,,,,,,,
				Phys Ed & Health  Mr L M Carey  GC4,14/06/2022,2:30:00 PM  ,14/06/2022,3:15:00 PM  ,FALSE,FALSE,,,,,,,,,,,,,,,
				Day 3,15/06/2022,,15/06/2022,,TRUE,FALSE,,,,,,,,,,,,,,,FREE
					Chemistry  Ms J A Scarff  S2.03,15/06/2022,8:35:00 AM  ,15/06/2022,9:20:00 AM  ,FALSE,FALSE,,,,,,,,,,,,,,,
				English  Mr P C M Huybers  S1.04W,15/06/2022,9:25:00 AM  ,15/06/2022,10:10:00 AM ,FALSE,FALSE,,,,,,,,,,,,,,,
				Italian  Mrs K L Irwin  L3.03,15/06/2022,11:10:00 AM ,15/06/2022,11:55:00 AM ,FALSE,FALSE,,,,,,,,,,,,,,,
				Mathematics  Mr A Patel  40,15/06/2022,12:00:00 PM ,15/06/2022,12:45:00 PM ,FALSE,FALSE,,,,,,,,,,,,,,,
				Coding & Algorithms  Mr D J Brosche  16,15/06/2022,1:40:00 PM  ,15/06/2022,2:25:00 PM  ,FALSE,FALSE,,,,,,,,,,,,,,,
				Public Speaking and Sound Design  Ms O C Hopkins  D1,15/06/2022,2:30:00 PM  ,15/06/2022,3:15:00 PM  ,FALSE,FALSE,,,,,,,,,,,,,,,
				Day 4,16/06/2022,,16/06/2022,,TRUE,FALSE,,,,,,,,,,,,,,,FREE
					Italian  Mrs K L Irwin  L3.03,16/06/2022,8:35:00 AM  ,16/06/2022,9:20:00 AM  ,FALSE,FALSE,,,,,,,,,,,,,,,
				Christian Ed  Mr M Y Poi  34,16/06/2022,9:25:00 AM  ,16/06/2022,10:10:00 AM ,FALSE,FALSE,,,,,,,,,,,,,,,
				Mathematics  Mr A Patel  40,16/06/2022,11:10:00 AM ,16/06/2022,11:55:00 AM ,FALSE,FALSE,,,,,,,,,,,,,,,
				Coding & Algorithms  Mr D J Brosche  16,16/06/2022,12:00:00 PM ,16/06/2022,12:45:00 PM ,FALSE,FALSE,,,,,,,,,,,,,,,
				English  Mr P C M Huybers  S1.04W,16/06/2022,1:40:00 PM  ,16/06/2022,2:25:00 PM  ,FALSE,FALSE,,,,,,,,,,,,,,,
				Public Speaking and Sound Design  Ms O C Hopkins  D3,16/06/2022,2:30:00 PM  ,16/06/2022,3:15:00 PM  ,FALSE,FALSE,,,,,,,,,,,,,,,
				Day 5,17/06/2022,,17/06/2022,,TRUE,FALSE,,,,,,,,,,,,,,,FREE
					Mathematics  Mr A Patel  40,17/06/2022,8:35:00 AM  ,17/06/2022,9:20:00 AM  ,FALSE,FALSE,,,,,,,,,,,,,,,
				Italian  Mrs K L Irwin  L3.03,17/06/2022,9:25:00 AM  ,17/06/2022,10:10:00 AM ,FALSE,FALSE,,,,,,,,,,,,,,,
				Public Speaking and Sound Design  Ms O C Hopkins  D1,17/06/2022,11:10:00 AM ,17/06/2022,11:55:00 AM ,FALSE,FALSE,,,,,,,,,,,,,,,
				English  Mr P C M Huybers  S1.04W,17/06/2022,12:00:00 PM ,17/06/2022,12:45:00 PM ,FALSE,FALSE,,,,,,,,,,,,,,,
				Phys Ed & Health  Mr L M Carey  GC3,17/06/2022,1:40:00 PM  ,17/06/2022,2:25:00 PM  ,FALSE,FALSE,,,,,,,,,,,,,,,
				Chemistry  Ms J A Scarff  S2.03,17/06/2022,2:30:00 PM  ,17/06/2022,3:15:00 PM  ,FALSE,FALSE,,,,,,,,,,,,,,,
				Day 6,20/06/2022,,20/06/2022,,TRUE,FALSE,,,,,,,,,,,,,,,FREE
					English  Mr P C M Huybers  S1.04W,20/06/2022,8:35:00 AM  ,20/06/2022,9:20:00 AM  ,FALSE,FALSE,,,,,,,,,,,,,,,
				Italian  Mrs K L Irwin  L3.03,20/06/2022,9:25:00 AM  ,20/06/2022,10:10:00 AM ,FALSE,FALSE,,,,,,,,,,,,,,,
				Phys Ed & Health  Mr L M Carey  21,20/06/2022,11:10:00 AM ,20/06/2022,11:55:00 AM ,FALSE,FALSE,,,,,,,,,,,,,,,
				Chemistry  Ms J A Scarff  S2.03,20/06/2022,12:00:00 PM ,20/06/2022,12:45:00 PM ,FALSE,FALSE,,,,,,,,,,,,,,,
				Mathematics  Mr A Patel  40,20/06/2022,1:40:00 PM  ,20/06/2022,2:25:00 PM  ,FALSE,FALSE,,,,,,,,,,,,,,,
				Coding & Algorithms  Mr D J Brosche  16,20/06/2022,2:30:00 PM  ,20/06/2022,3:15:00 PM  ,FALSE,FALSE,,,,,,,,,,,,,,,
				Day 1,21/06/2022,,21/06/2022,,TRUE,FALSE,,,,,,,,,,,,,,,FREE
					Public Speaking and Sound Design  Ms O C Hopkins  D1,21/06/2022,8:35:00 AM  ,21/06/2022,9:20:00 AM  ,FALSE,FALSE,,,,,,,,,,,,,,,
				English  Mr P C M Huybers  S1.04W,21/06/2022,9:25:00 AM  ,21/06/2022,10:10:00 AM ,FALSE,FALSE,,,,,,,,,,,,,,,
				Coding & Algorithms  Mr D J Brosche  16,21/06/2022,11:10:00 AM ,21/06/2022,11:55:00 AM ,FALSE,FALSE,,,,,,,,,,,,,,,
				Christian Ed  Mr M Y Poi  34,21/06/2022,12:00:00 PM ,21/06/2022,12:45:00 PM ,FALSE,FALSE,,,,,,,,,,,,,,,
				Chemistry  Ms J A Scarff  S2.03,21/06/2022,1:40:00 PM  ,21/06/2022,2:25:00 PM  ,FALSE,FALSE,,,,,,,,,,,,,,,
				Mathematics  Mr A Patel  43,21/06/2022,2:30:00 PM  ,21/06/2022,3:15:00 PM  ,FALSE,FALSE,,,,,,,,,,,,,,,
				Day 2,22/06/2022,,22/06/2022,,TRUE,FALSE,,,,,,,,,,,,,,,FREE
					Coding & Algorithms  Mr D J Brosche  16,22/06/2022,8:35:00 AM  ,22/06/2022,9:20:00 AM  ,FALSE,FALSE,,,,,,,,,,,,,,,
				Mathematics  Mr A Patel  43,22/06/2022,9:25:00 AM  ,22/06/2022,10:10:00 AM ,FALSE,FALSE,,,,,,,,,,,,,,,
				Chemistry  Ms J A Scarff  S2.03,22/06/2022,11:10:00 AM ,22/06/2022,11:55:00 AM ,FALSE,FALSE,,,,,,,,,,,,,,,
				Public Speaking and Sound Design  Ms O C Hopkins  D1,22/06/2022,12:00:00 PM ,22/06/2022,12:45:00 PM ,FALSE,FALSE,,,,,,,,,,,,,,,
				Italian  Mrs K L Irwin  L3.03,22/06/2022,1:40:00 PM  ,22/06/2022,2:25:00 PM  ,FALSE,FALSE,,,,,,,,,,,,,,,
				Phys Ed & Health  Mr L M Carey  GC4,22/06/2022,2:30:00 PM  ,22/06/2022,3:15:00 PM  ,FALSE,FALSE,,,,,,,,,,,,,,,
				Day 3,23/06/2022,,23/06/2022,,TRUE,FALSE,,,,,,,,,,,,,,,FREE
					Chemistry  Ms J A Scarff  S2.03,23/06/2022,8:35:00 AM  ,23/06/2022,9:20:00 AM  ,FALSE,FALSE,,,,,,,,,,,,,,,
				English  Mr P C M Huybers  S1.04W,23/06/2022,9:25:00 AM  ,23/06/2022,10:10:00 AM ,FALSE,FALSE,,,,,,,,,,,,,,,
				Italian  Mrs K L Irwin  L3.03,23/06/2022,11:10:00 AM ,23/06/2022,11:55:00 AM ,FALSE,FALSE,,,,,,,,,,,,,,,
				Mathematics  Mr A Patel  40,23/06/2022,12:00:00 PM ,23/06/2022,12:45:00 PM ,FALSE,FALSE,,,,,,,,,,,,,,,
				Coding & Algorithms  Mr D J Brosche  16,23/06/2022,1:40:00 PM  ,23/06/2022,2:25:00 PM  ,FALSE,FALSE,,,,,,,,,,,,,,,
				Public Speaking and Sound Design  Ms O C Hopkins  D1,23/06/2022,2:30:00 PM  ,23/06/2022,3:15:00 PM  ,FALSE,FALSE,,,,,,,,,,,,,,,
				Day 4,19/07/2022,,19/07/2022,,TRUE,FALSE,,,,,,,,,,,,,,,FREE
					Italian  Mrs K L Irwin  L3.03,19/07/2022,8:35:00 AM  ,19/07/2022,9:20:00 AM  ,FALSE,FALSE,,,,,,,,,,,,,,,
